number,school,address,email
259,을지대학교,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스)"
260,을지대학교,"경기도 성남시 수정구 산성대로 553 (양지동, 을지대학교)"
261,을지대학교일반대학원,"대전광역시 중구 계룡로771번길 77 (목동, 을지대학교대전캠퍼스)"
262,이화여자대학교,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교)"
263,이화여자대학교 대학원,"서울특별시 서대문구 이화여대길 52 (대현동, 이화여자대학교)"
264,인제대학교,"경상남도 김해시 인제로 197 (어방동, 인제대학교)"
265,인제대학교,"부산광역시 부산진구 복지로 75 (개금동, 부산백병원)"
266,인제대학교 일반대학원,"경상남도 김해시 인제로 197 (어방동, 인제대학교)"
267,인천가톨릭대학교,인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리)
268,인천가톨릭대학교,"인천광역시 연수구 해송로 12 (송도동, 인천가톨릭대학교)"
269,인천가톨릭대학교대학원,"인천광역시 강화군 양도면 고려왕릉로 53-1 (도장리, 인천가톨릭대학교)"
270,인천가톨릭대학교 일반대학원,"인천광역시 연수구 해송로 12 (송도동, 인천가톨릭대학교)"
271,인하대학교,"인천광역시 남구 인하로 100 (용현동, 인하대학교)"
272,인하대학교대학원,"인천광역시 남구 인하로 100 (용현동, 인하대학교)"
273,장로회신학대학교,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교)"
274,장로회신학대학교 일반대학원,"서울특별시 광진구 광장로5길 25-1 (광장동, 장로회신학대학교)"
275,전주대학교,"전라북도 전주시 완산구 천잠로 303 (효자동2가, 전주대학교)"
276,전주대학교 일반대학원,"전라북도 전주시 완산구 천잠로 303 (효자동2가, 전주대학교)"
277,조선대학교,"광주광역시 동구 필문대로 309 (서석동, 조선대학교)"
278,조선대학교대학원,"광주광역시 동구 필문대로 309 (서석동, 조선대학교)"
279,중부대학교,"충청남도 금산군 추부면 대학로 201 (마전리, 중부대학교)"
280,중부대학교일반대학원,"충청남도 금산군 추부면 대학로 201 (마전리, 중부대학교)"
281,중앙대학교 서울캠퍼스,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교)"
282,중앙대학교 안성캠퍼스,"경기도 안성시 대덕면 서동대로 4726 (내리, 중앙대학교)"
283,중앙대학교 대학원,"서울특별시 동작구 흑석로 84 (흑석동, 중앙대학교)"
284,중앙대학교 대학원,"경기도 안성시 대덕면 서동대로 4726 (내리, 중앙대학교)"
285,중앙승가대학교,경기도 김포시 승가로 123 (풍무동)
286,중앙승가대학교대학원,경기도 김포시 승가로 123 (풍무동)
287,백석대학교,"충청남도 천안시 동남구 문암로 76 (안서동, 백석대학교)"
288,백석대학교 교육대학원,"서울특별시 서초구 방배로9길 15 (방배동, 목양동백석대학교)"
289,청주대학교,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교)"
290,청주대학교일반대학원,"충청북도 청주시 청원구 대성로 298 (내덕동, 청주대학교)"
291,총신대학교,"서울특별시 동작구 사당로 143 (사당동, 총신대학교)"
292,총신대학교일반대학원,"서울특별시 동작구 사당로 143 (사당동, 총신대학교)"
293,추계예술대학교,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교)"
294,추계예술대학교 일반대학원,"서울특별시 서대문구 북아현로11가길 7 (북아현동, 추계예술대학교)"
295,침례신학대학교,"대전광역시 유성구 북유성대로 190 (하기동, 침례신학대학교)"
296,침례신학대학교대학원,"대전광역시 유성구 북유성대로 190 (하기동, 침례신학대학교)"
297,칼빈대학교,"경기도 용인시 기흥구 마북로 184 (마북동, 칼빈대학교)"
